Step2.tibble_sample_id,Step2.tibble_Hash,Step2.tibble_nReads
lcc422s131,9eb653f8fc07d2340455c99c78984919,69747
lcc422s311,9eb653f8fc07d2340455c99c78984919,3270
lcc422s313,9eb653f8fc07d2340455c99c78984919,68250
lcc422s341,9eb653f8fc07d2340455c99c78984919,3351
lcc422s511,9eb653f8fc07d2340455c99c78984919,8018
lcc422s541,9eb653f8fc07d2340455c99c78984919,18604
lce422s131,9eb653f8fc07d2340455c99c78984919,7621
lce422s141,9eb653f8fc07d2340455c99c78984919,3476
lce422s312,9eb653f8fc07d2340455c99c78984919,796
lce422s321,9eb653f8fc07d2340455c99c78984919,4909
lce422s341,9eb653f8fc07d2340455c99c78984919,652
lce422s512,9eb653f8fc07d2340455c99c78984919,9969
lcm422s341,9eb653f8fc07d2340455c99c78984919,321
lcm422s511,9eb653f8fc07d2340455c99c78984919,104
lcm422s542,9eb653f8fc07d2340455c99c78984919,357
lcs422s112,9eb653f8fc07d2340455c99c78984919,5541
lcs422s321,9eb653f8fc07d2340455c99c78984919,719
lcs422s331,9eb653f8fc07d2340455c99c78984919,9
kbg422s131,a41445da40af99ae213ca46e8cbf3479,3072
kbg422s511,a41445da40af99ae213ca46e8cbf3479,15463
kbg422s521,a41445da40af99ae213ca46e8cbf3479,22806
kbg422s531,a41445da40af99ae213ca46e8cbf3479,70437
kbg422s541,a41445da40af99ae213ca46e8cbf3479,3823
kbg922s311,a41445da40af99ae213ca46e8cbf3479,1926
kbg922s312,a41445da40af99ae213ca46e8cbf3479,94
kbg922s331,a41445da40af99ae213ca46e8cbf3479,400
kbg922s341,a41445da40af99ae213ca46e8cbf3479,35161
kbh422s141,a41445da40af99ae213ca46e8cbf3479,1106
kbh422s1NC,a41445da40af99ae213ca46e8cbf3479,529
kbh422s531,a41445da40af99ae213ca46e8cbf3479,3597
kbh922s311,a41445da40af99ae213ca46e8cbf3479,3537
kbh922s312,a41445da40af99ae213ca46e8cbf3479,12
kbh922s322,a41445da40af99ae213ca46e8cbf3479,947
kbh922s331,a41445da40af99ae213ca46e8cbf3479,1010
kbj411s1NC,a41445da40af99ae213ca46e8cbf3479,19927
kbj422s141,a41445da40af99ae213ca46e8cbf3479,7307
kbj422s511,a41445da40af99ae213ca46e8cbf3479,22246
kbj422s512,a41445da40af99ae213ca46e8cbf3479,4040
kbj422s513,a41445da40af99ae213ca46e8cbf3479,4862
kbj422s521,a41445da40af99ae213ca46e8cbf3479,13142
kbj422s531,a41445da40af99ae213ca46e8cbf3479,6384
kbj422s541,a41445da40af99ae213ca46e8cbf3479,6005
kbj922s312,a41445da40af99ae213ca46e8cbf3479,122
kbj922s341,a41445da40af99ae213ca46e8cbf3479,13565
kbt422s112,a41445da40af99ae213ca46e8cbf3479,75775
kbt422s121,a41445da40af99ae213ca46e8cbf3479,9576
kbt422s131,a41445da40af99ae213ca46e8cbf3479,2102
kbt422s141,a41445da40af99ae213ca46e8cbf3479,9512
kbt422s1NC,a41445da40af99ae213ca46e8cbf3479,17058
kbt422s513,a41445da40af99ae213ca46e8cbf3479,18296
